banque;date;pays;Effectif;impot courant;impot différé;Produit Net Bancaire;NB filiales périmètre en +;NB filiales CBCR;impot sur bénéfice;Resultat avant impot;resultats/effectifs;Total filiales;resultats/pnb
BPCE;2014-12-31;Liban;;;;;;1;;;;1;
BNP;2014-12-31;Luxembourg;3664;-980000000;-320000000;11860000000;;35;-1300000000;5660000000;1.54476e+06;35;0.477234
BNP;2014-12-31;Malaisie;63;-30000000;;210000000;;2;-30000000;100000000;1.5873e+06;2;0.47619
BPCE;2014-12-31;Suède;16;;;30000000;;2;;10000000;625000;2;0.333333
CA;2014-12-31;Guernesey;;;;10000000;;2;;;;2;
BPCE;2014-12-31;Grande-Bretagne;499;;;2600000000;;19;-910000000;1260000000;2.52505e+06;19;0.484615
SG;2014-12-31;Afrique du Sud;80;-20000000;;110000000;;1;-20000000;60000000;750000;1;0.545455
BPCE;2014-12-31;Lituanie;13;;;20000000;;1;;10000000;769231;1;0.5
SG;2014-12-31;Burkina Faso;246;-10000000;;290000000;;1;-10000000;90000000;365854;1;0.310345
SG;2014-12-31;Taïwan;31;-30000000;-10000000;320000000;;2;-40000000;210000000;6.77419e+06;2;0.65625
