banque;date;pays;Effectif;impot courant;impot différé;Produit Net Bancaire;NB filiales périmètre en +;NB filiales CBCR;impot sur bénéfice;Resultat avant impot;resultats/effectifs;Total filiales;resultats/pnb
SG;2014-12-31;Pays-Bas;164;-30000000;;320000000;1;12;-30000000;70000000;426829;13;0.21875
CA;2014-12-31;Émirats Arabes Unis;82;-10000000;;400000000;1;3;-10000000;140000000;1.70732e+06;4;0.35
BNP;2014-12-31;Qatar;37;;;150000000;;1;;30000000;810811;1;0.2
BPCE;2014-12-31;États-Unis;2816;;;21100000000;;90;-2270000000;6950000000;2.46804e+06;90;0.329384
SG;2014-12-31;Maroc;3778;-590000000;100000000;4360000000;;10;-490000000;1300000000;344097;10;0.298165
BPCE;2014-12-31;Singapour;166;;;690000000;;7;-60000000;390000000;2.3494e+06;7;0.565217
BNP;2014-12-31;Canada;279;-70000000;-20000000;530000000;;4;-90000000;280000000;1.00358e+06;4;0.528302
BNP;2014-12-31;République Tchèque;610;-140000000;-20000000;1310000000;;5;-160000000;690000000;1.13115e+06;5;0.526718
BPCE;2014-12-31;Australie;18;;;80000000;;3;-10000000;10000000;555556;3;0.125
CA;2014-12-31;Chine;123;-80000000;20000000;460000000;3;1;-60000000;250000000;2.03252e+06;4;0.543478
BPCE;2014-12-31;Jersey;;;;10000000;;1;;;;1;
CA;2014-12-31;Brunei;;;;;1;;;;;1;
CA;2014-12-31;Iles Caïmans;;;;350000000;1;1;;350000000;;2;1
SG;2014-12-31;Slovaquie;103;-30000000;20000000;150000000;;5;-10000000;110000000;1.06796e+06;5;0.733333
CM;2014-12-31;Portugal;399;-150000000;;1090000000;;1;-150000000;530000000;;1;
CM;2014-12-31;Singapour;214;-20000000;;650000000;;3;-20000000;190000000;;3;
BNP;2014-12-31;Afrique du Sud;1258;-30000000;-10000000;550000000;;7;-40000000;30000000;23847.4;7;0.0545455
BNP;2014-12-31;Pérou;;;;;;1;;;;1;
CA;2014-12-31;Malaisie;20;-10000000;;50000000;;1;-10000000;30000000;1500000;1;0.6
SG;2014-12-31;Algérie;1412;-150000000;-30000000;1340000000;;2;-180000000;630000000;446176;2;0.470149
SG;2014-12-31;Ghana;709;-50000000;;620000000;;1;-50000000;110000000;155148;1;0.177419
CM;2014-12-31;Belgique;1;-70000000;-80000000;4200000000;1;15;-150000000;1320000000;;16;
BNP;2014-12-31;Hongrie;503;-90000000;60000000;800000000;;11;-30000000;230000000;457256;11;0.2875
BPCE;2014-12-31;Vietnam;52;;;20000000;;1;;-110000000;-2.11538e+06;1;-5.5
SG;2014-12-31;Monaco;315;-210000000;;1400000000;;4;-210000000;630000000;2000000;4;0.45
SG;2014-12-31;Nouvelle-Zélande;;;;;;1;;;;1;
BPCE;2014-12-31;Espagne;263;;;1390000000;;5;-240000000;930000000;3.53612e+06;5;0.669065
BPCE;2014-12-31;Hongrie;37;;;20000000;;2;;10000000;270270;2;0.5
SG;2014-12-31;Tchad;195;-10000000;;210000000;;1;-10000000;60000000;307692;1;0.285714
SG;2014-12-31;Liban;;;;;;1;;150000000;;1;
SG;2014-12-31;Ukraine;;;;;;1;;40000000;;1;
BPCE;2014-12-31;Slovaquie;8;;;10000000;;1;;;;1;
CA;2014-12-31;Singapour;417;-80000000;;1510000000;1;3;-80000000;560000000;1.34293e+06;4;0.370861
CA;2014-12-31;Australie;29;-170000000;50000000;570000000;1;1;-120000000;440000000;1.51724e+07;2;0.77193
CA;2014-12-31;États-Unis;793;-310000000;-110000000;8540000000;2;20;-420000000;4400000000;5.54855e+06;22;0.515222
CA;2014-12-31;Roumanie;274;;;100000000;;1;;-90000000;-328467;1;-0.9
BNP;2014-12-31;Bahreïn;360;;;540000000;;2;;-310000000;-861111;2;-0.574074
SG;2014-12-31;Danemark;146;-90000000;20000000;570000000;;4;-70000000;330000000;2.26027e+06;4;0.578947
SG;2014-12-31;Portugal;85;-20000000;;160000000;;1;-20000000;110000000;1.29412e+06;1;0.6875
CM;2014-12-31;Slovaquie;2;;;;;1;;-10000000;;1;
CA;2014-12-31;Inde;127;-110000000;;460000000;2;2;-110000000;310000000;2.44094e+06;4;0.673913
SG;2014-12-31;Irlande;53;;;50000000;3;10;;130000000;2.45283e+06;13;2.6
BNP;2014-12-31;Côte d'Ivoire;568;-30000000;;580000000;;1;-30000000;180000000;316901;1;0.310345
BPCE;2014-12-31;Émirats Arabes Unis;40;;;100000000;;2;;10000000;250000;2;0.1
CA;2014-12-31;Pays-Bas;339;-50000000;-30000000;1190000000;2;32;-80000000;330000000;973451;34;0.277311
SG;2014-12-31;Belgique;471;-150000000;;1930000000;;8;-150000000;1020000000;2.16561e+06;8;0.528497
CM;2014-12-31;Brésil;2;;;10000000;;2;;;;2;
SG;2014-12-31;Iles Vierges Britanniques;;;;;;1;;;;1;
SG;2014-12-31;Albanie;400;;;210000000;;1;;50000000;125000;1;0.238095
BNP;2014-12-31;Burkina Faso;295;-10000000;;220000000;;1;-10000000;50000000;169492;1;0.227273
BNP;2014-12-31;Monaco;212;;;620000000;;2;;220000000;1.03774e+06;2;0.354839
BNP;2014-12-31;Singapour;1861;-190000000;;4170000000;;7;-190000000;1220000000;655562;7;0.292566
BPCE;2014-12-31;Russie;70;;;160000000;;2;-30000000;70000000;1000000;2;0.4375
SG;2014-12-31;Corée du Sud;136;-90000000;20000000;1170000000;;4;-70000000;390000000;2.86765e+06;4;0.333333
BNP;2014-12-31;Australie;458;-50000000;-140000000;1460000000;;6;-190000000;580000000;1.26638e+06;6;0.39726
BNP;2014-12-31;Turquie;10766;-890000000;130000000;11590000000;;12;-760000000;3720000000;345532;12;0.320966
BPCE;2014-12-31;Polynésie Française;280;;;550000000;;3;-100000000;170000000;607143;3;0.309091
CA;2014-12-31;Slovaquie;11;;;20000000;;1;;10000000;909091;1;0.5
SG;2014-12-31;Sénégal;756;;80000000;510000000;;1;80000000;-340000000;-449735;1;-0.666667
SG;2014-12-31;Chypre;;;;10000000;;1;;10000000;;1;1
BNP;2014-12-31;Royaume-Uni;6505;-590000000;-720000000;23660000000;;58;-1310000000;7170000000;1.10223e+06;58;0.303043
SG;2014-12-31;Russie;20966;-410000000;-100000000;12340000000;;21;-510000000;1870000000;89192;21;0.15154
CA;2014-12-31;Bermudes;;;;-10000000;;1;;;;1;
BNP;2014-12-31;Bulgarie;1055;-10000000;;540000000;;5;-10000000;170000000;161137;5;0.314815
BNP;2014-12-31;Koweït;27;;;70000000;;1;;30000000;1.11111e+06;1;0.428571
BNP;2014-12-31;Philippines;12;;;10000000;;1;;;;1;
BPCE;2014-12-31;Israël;101;;;80000000;;3;;;;3;
CA;2014-12-31;Canada;76;;;;1;1;;-20000000;-263158;2;
SG;2014-12-31;Jersey;219;-20000000;;600000000;;16;-20000000;200000000;913242;16;0.333333
SG;2014-12-31;Thaïlande;;;;;;1;;;;1;
BNP;2014-12-31;Mali;102;-10000000;;140000000;;1;-10000000;40000000;392157;1;0.285714
BPCE;2014-12-31;Malaisie;4;;;30000000;;1;;20000000;5000000;1;0.666667
BNP;2014-12-31;Gabon;;;;;;1;;;;1;
BNP;2014-12-31;Slovaquie;162;-30000000;;270000000;;3;-30000000;120000000;740741;3;0.444444
BNP;2014-12-31;Inde;2467;-430000000;-30000000;1380000000;;12;-460000000;960000000;389137;12;0.695652
SG;2014-12-31;Guinée;290;-50000000;;280000000;;1;-50000000;120000000;413793;1;0.428571
CM;2014-12-31;Monaco;9;;;20000000;;2;;10000000;;2;
SG;2014-12-31;Lituanie;;;;;;1;;10000000;;1;
BNP;2014-12-31;Iles Caïmans;;;;30000000;;7;;40000000;;7;1.33333
BPCE;2014-12-31;Roumanie;91;;;70000000;;3;-10000000;30000000;329670;3;0.428571
SG;2014-12-31;Autriche;54;-10000000;;110000000;;3;-10000000;40000000;740741;3;0.363636
BNP;2014-12-31;Ile de Man;;;;10000000;;1;;;;1;
BNP;2014-12-31;Jersey;212;;;610000000;;5;;390000000;1.83962e+06;5;0.639344
BNP;2014-12-31;Botswana;9;;;;;1;;;;1;
SG;2014-12-31;Hongrie;;;;;;3;;30000000;;3;
CA;2014-12-31;Tunisie;;;;;1;;;;;1;
BPCE;2014-12-31;Pays-Bas;71;;;210000000;;6;-20000000;100000000;1.40845e+06;6;0.47619
CA;2014-12-31;Luxembourg;1315;-530000000;;5690000000;;37;-530000000;3110000000;2.36502e+06;37;0.546573
SG;2014-12-31;Espagne;562;-460000000;-70000000;4000000000;1;8;-530000000;2330000000;4.14591e+06;9;0.5825
SG;2014-12-31;Émirats Arabes Unis;79;;;170000000;;3;;40000000;506329;3;0.235294
BNP;2014-12-31;Tunisie;1229;-70000000;-10000000;690000000;;1;-80000000;280000000;227828;1;0.405797
CA;2014-12-31;Taïwan;106;-10000000;-10000000;330000000;;2;-20000000;110000000;1.03774e+06;2;0.333333
BPCE;2014-12-31;Tunisie;449;;;330000000;;8;-20000000;60000000;133630;8;0.181818
BPCE;2014-12-31;Turquie;51;;;50000000;;1;;;;1;
CA;2014-12-31;Monaco;421;-20000000;;1280000000;;2;-20000000;480000000;1.14014e+06;2;0.375
BNP;2014-12-31;Sénégal;440;-20000000;;480000000;;1;-20000000;130000000;295455;1;0.270833
CM;2014-12-31;Luxembourg;831;-180000000;-30000000;2920000000;4;25;-210000000;1290000000;;29;
BPCE;2014-12-31;Madagascar;365;;;290000000;;2;-30000000;170000000;465753;2;0.586207
CA;2014-12-31;Algérie;24;-20000000;;120000000;;1;-20000000;90000000;3750000;1;0.75
SG;2014-12-31;Bahamas;44;;;150000000;;1;;40000000;909091;1;0.266667
SG;2014-12-31;Japon;284;-420000000;-40000000;3060000000;;4;-460000000;1790000000;6.30282e+06;4;0.584967
SG;2014-12-31;Moldavie;736;-10000000;;220000000;;1;-10000000;60000000;81521.7;1;0.272727
BPCE;2014-12-31;France;91682;;;192490000000;;413;-14470000000;45270000000;493772;413;0.235181
BNP;2014-12-31;Maroc;3630;-340000000;-20000000;3030000000;;8;-360000000;680000000;187328;8;0.224422
SG;2014-12-31;Malte;;;;;;2;;;;2;
CA;2014-12-31;Danemark;;;;;4;;;;;4;
BNP;2014-12-31;Russie;437;-130000000;-50000000;1080000000;;4;-180000000;460000000;1.05263e+06;4;0.425926
BNP;2014-12-31;Finlande;32;;;50000000;;5;;-20000000;-625000;5;-0.4
BPCE;2014-12-31;Suisse;71;;;50000000;;5;;-140000000;-1.97183e+06;5;-2.8
CA;2014-12-31;Portugal;424;-160000000;-10000000;1090000000;4;3;-170000000;560000000;1.32075e+06;7;0.513761
SG;2014-12-31;Guernesey;;;;;;6;;;;6;
SG;2014-12-31;Curaçao;;;;10000000;;1;;10000000;;1;1
BNP;2014-12-31;Colombie;241;-20000000;-10000000;230000000;;2;-30000000;10000000;41493.8;2;0.0434783
BNP;2014-12-31;États-Unis;14622;-2150000000;500000000;34520000000;;103;-1650000000;7240000000;495144;103;0.209733
CA;2014-12-31;Belgique;111;-50000000;;400000000;6;13;-50000000;180000000;1.62162e+06;19;0.45
CA;2014-12-31;Russie;155;-20000000;;310000000;;1;-20000000;110000000;709677;1;0.354839
BNP;2014-12-31;Norvège;100;-40000000;20000000;320000000;;7;-20000000;20000000;200000;7;0.0625
BPCE;2014-12-31;Nouvelle-Calédonie;742;;;660000000;;4;-110000000;370000000;498652;4;0.560606
SG;2014-12-31;Cameroun;625;-90000000;;720000000;;1;-90000000;190000000;304000;1;0.263889
BNP;2014-12-31;Émirats Arabes Unis;100;-70000000;10000000;310000000;;2;-60000000;160000000;1600000;2;0.516129
CA;2014-12-31;Corée du Sud;75;-40000000;-10000000;380000000;2;1;-50000000;200000000;2.66667e+06;3;0.526316
SG;2014-12-31;Polynésie Française;283;-60000000;40000000;520000000;;2;-20000000;30000000;106007;2;0.0576923
CM;2014-12-31;Iles Caïmans;;;;10000000;2;;;10000000;;2;
