date;banque;indicateur;pays;iso;valeur;activité filiale
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;BNP Paribas Cadiz Securities;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;BNP Paribas Cadiz Stockbroking;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;BNP Paribas SA (succ. Afrique du Sud);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;RCS Cards Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;RCS Collections Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;RCS Home Loans Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;ZA;RCS Investment Holdings Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Algérie;DZ;BNP Paribas ElDjazair;Europe Méditerranée
2014-12-31;BNP;FILIALES;Algérie;DZ;Cetelem Algérie;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;Arval Deutschland GmbH;Arval
2014-12-31;BNP;FILIALES;Allemagne;DE;Cardif Assurance Vie (succ. Allemagne);Assurance
2014-12-31;BNP;FILIALES;Allemagne;DE;Cardif Assurances Risques Divers (succ. Allemagne);Assurance
2014-12-31;BNP;FILIALES;Allemagne;DE;BGL BNP Paribas (succ. Allemagne);Banque de détail
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Factor GmbH;Banque de détail
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Emission und Handel. GmbH;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Fortis (succ. Allemagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas SA (succ. Allemagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Investment Partners Belgium (succ. Allemagne);Investment
2014-12-31;BNP;FILIALES;Allemagne;DE;All in One Vermietungsgesellschaft für Telekommunicationsanlagen mbH;Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Lease Group BPLG (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;Claas Financial Services (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;CNH Industrial Capital Europe (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;Fortis Lease Deutschland GmbH;Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;JCB Finance (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;DE;Commerz Finanz;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;Gesellschaft für Capital & Vermögensverwaltung Gmbh (GCV);Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;Inkasso Kodat Gmbh & Co KG;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;Von Essen GmbH & Co. KG Bankgesellschaft;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Beteiligungsholding AG;Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;DE;Cortal Consors (succ. Allemagne);Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;DE;DAB Bank AG;Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Securities Services - BP2S (succ. Allemagne) ;Securities Services
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate Consult GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate Holding GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate Investment Management Germany GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;DE;BNP Paribas Real Estate property Management GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Arabie Saoudite;SA;BNP Paribas Investment Company KSA;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Arabie Saoudite;SA;BNP Paribas SA (succ. Arabie Saoudite);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Argentine;AR;Cardif Seguros SA;Assurance
2014-12-31;BNP;FILIALES;Argentine;AR;BNP Paribas SA (succ. Argentine);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Argentine;AR;BNP Paribas investment Partners Argentina SA;Investment
2014-12-31;BNP;FILIALES;Argentine;AR;Banco Cetelem Argentina SA;Personal Finance
2014-12-31;BNP;FILIALES;Argentine;AR;Banco de Servicios Financieros SA;Personal Finance
2014-12-31;BNP;FILIALES;Argentine;AR;Fideicomiso Financiero Cetelem II, III et IV;Personal Finance
2014-12-31;BNP;FILIALES;Australie;AU;BNP Pacific (Australia) Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Australie;AU;BNP Paribas SA (succ. Australie);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Australie;AU;BNP Paribas Investment Partners (Australia) Holdings Pty Ltd;Investment
2014-12-31;BNP;FILIALES;Australie;AU;BNP Paribas Investment Partners (Australia) Ltd;Investment
2014-12-31;BNP;FILIALES;Australie;AU;BNP Paribas Fund Services Australasia Pty Ltd;Securities Services
2014-12-31;BNP;FILIALES;Australie;AU;BNP Paribas Securities Services - BP2S (succ. Australie);Securities Services
2014-12-31;BNP;FILIALES;Autriche;AT;Arval Austria GmbH;Arval
2014-12-31;BNP;FILIALES;Autriche;AT;Cardif Assurance Vie (succ. Autriche);Assurance
2014-12-31;BNP;FILIALES;Autriche;AT;Cardif Assurances Risques Divers (succ. Autriche);Assurance
2014-12-31;BNP;FILIALES;Autriche;AT;BNP Paribas Fortis (succ. Autriche);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Autriche;AT;BNP Paribas Asset Management SAS (succ. Autriche);Investment
2014-12-31;BNP;FILIALES;Autriche;AT;All in One Vermietung GmbH;Leasing solutions
2014-12-31;BNP;FILIALES;Autriche;AT;CNH industrial Capital Europe GmbH (ex- CNH Capital Europe GmbH);Leasing solutions
2014-12-31;BNP;FILIALES;Autriche;AT;Direktanlage AT AG;Personal Investors
2014-12-31;BNP;FILIALES;Bahreïn;BH;BNP Paribas SA (succ. Bahrein);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Bahreïn;BH;Turk Ekonomi Bankasi AS (succ. Bahreïn);Europe Méditerranée
2014-12-31;BNP;FILIALES;Belgique;BE;Arval Belgium SA;Arval
2014-12-31;BNP;FILIALES;Belgique;BE;AG Insurance (Groupe);Assurance
2014-12-31;BNP;FILIALES;Belgique;BE;Cardif Assurance Vie (succ. Belgique);Assurance
2014-12-31;BNP;FILIALES;Belgique;BE;Cardif Assurance Risques Divers (succ. Belgique);Assurance
2014-12-31;BNP;FILIALES;Belgique;BE;Cardif Leven;Assurance
2014-12-31;BNP;FILIALES;Belgique;BE;F&B Insurance Holdings SA (Groupe);Assurance
2014-12-31;BNP;FILIALES;Belgique;BE;Alpha Card SCRL (Groupe);Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;BASS Master Issuer NV;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;Belgian Mobile Wallet;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Fortis;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Fortis Factor NV;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;Bpost banque;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;Demetris NV;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;Esmée Master issuer;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;Immobilière Sauvenière SA;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas SA (succ. Belgique);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Belgique;BE;FScholen;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas investment Partners BE Holding;Investment
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Investment Partners Belgium;Investment
2014-12-31;BNP;FILIALES;Belgique;BE;Ace Equipment Leasing;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;BE;Ace Leasing;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Lease Group SA Belgium;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;BE;CNH industrial Capital Europe (succ. Belgique);Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;BE;ES-Finance;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;BE;Fortis Lease Belgium;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;BE;Fortis Lease Car & Truck;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;BE;Alpha Crédit SA;Personal Finance
2014-12-31;BNP;FILIALES;Belgique;BE;Eos Aremas Belgium SA;Personal Finance
2014-12-31;BNP;FILIALES;Belgique;BE;Nissan Finance Belgium NV;Personal Finance
2014-12-31;BNP;FILIALES;Belgique;BE;Cobema;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;BE;Fortis Private Equity Belgium NV;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;BE;Fortis Private Equity Expansion Belgium NV;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;BE;Fortis Private Equity Management Belgium;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;BE;Fortis Private Equity Venture Belgium SA;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;BE;Gepeco;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Securities Services - BP2S (succ. Belgique);Securities Services
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Real Estate Advisory Belgium SA;Services immobiliers
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Real Estate Holding Benelux SA ;Services immobiliers
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Real Estate investment Management Belgium;Services immobiliers
2014-12-31;BNP;FILIALES;Belgique;BE;BNP Paribas Real Estate Property Management Belgium;Services immobiliers
2014-12-31;BNP;FILIALES;Belgique;BE;Sagip;Sociétés de portefeuille et autres filiales
2014-12-31;BNP;FILIALES;Bermudes;BM;Cronos Holding Company Ltd (Groupe);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Botswana;BW;RCS Botswana Propreietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Brésil;BR;Arval Brasil Limitada;Arval
2014-12-31;BNP;FILIALES;Brésil;BR;Cardif do Brasil Seguros e Garantias;Assurance
2014-12-31;BNP;FILIALES;Brésil;BR;Cardif do Brasil Vida e Previdencia SA;Assurance
2014-12-31;BNP;FILIALES;Brésil;BR;Luizaseg;Assurance
2014-12-31;BNP;FILIALES;Brésil;BR;NCVP Participacoes Societarias SA;Assurance
2014-12-31;BNP;FILIALES;Brésil;BR;Banco BNP Paribas Brasil SA;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Brésil;BR;Banco Cetelem SA (ex- Banco BGN SA);Personal Finance
2014-12-31;BNP;FILIALES;Brésil;BR;BNP Paribas EQD Brazil Fund Fundo Invest Multimercado;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Brésil;BR;BNP Paribas proprietario Fundo de investimento Multimercado;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Brésil;BR;BNP Paribas Asset Management Brasil Ltda;Investment
2014-12-31;BNP;FILIALES;Brésil;BR;BGN Mercantil E Servicios Ltda;Personal Finance
2014-12-31;BNP;FILIALES;Brésil;BR;Cetelem America Ltda;Personal Finance
2014-12-31;BNP;FILIALES;Brésil;BR;Cetelem Brasil SA;Personal Finance
2014-12-31;BNP;FILIALES;Brésil;BR;Cetelem Servicos Ltda;Personal Finance
2014-12-31;BNP;FILIALES;Bulgarie;BG;Cardif Assurance Vie (succ. Bulgarie);Assurance
2014-12-31;BNP;FILIALES;Bulgarie;BG;Cardif Assurances Risques Divers (succ. Bulgarie);Assurance
2014-12-31;BNP;FILIALES;Bulgarie;BG;BNP Paribas SA (succ. Bulgarie);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Bulgarie;BG;Direct Services ;Personal Finance
2014-12-31;BNP;FILIALES;Bulgarie;BG;BNP Paribas Personal Finance EAD;Personal Finance
2014-12-31;BNP;FILIALES;Burkina Faso;BF;Banque Internationale du commerce et de l'industrie Burkina Faso;Europe Méditerranée
2014-12-31;BNP;FILIALES;Canada;CA;BNP Paribas (Canada) Valeurs mobilières;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Canada;CA;BNP Paribas Canada;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Canada;CA;BNP Paribas Energy Trading Canada Corp;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Canada;CA;BNP Paribas SA (succ. Canada);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Chili;CL;BNP Paribas Cardif Seguros de Vida SA;Assurance
2014-12-31;BNP;FILIALES;Chili;CL;BNP Paribas Cardif Seguros Generales SA;Assurance
2014-12-31;BNP;FILIALES;Chili;CL;Cardif Extension de Garantia y Asistencia Limitada;Assurance
2014-12-31;BNP;FILIALES;Chili;CL;Banco Estado Administradora General de Fondos;Investment
2014-12-31;BNP;FILIALES;Chine;CN;Arval China Co Ltd;Arval
2014-12-31;BNP;FILIALES;Chine;CN;BOB - Cardif Life Insurance Company Ltd;Assurance
2014-12-31;BNP;FILIALES;Chine;CN;BNP Paribas (China) Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Chine;CN;BNP Paribas Commodities Trading (Shangaï) Co Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Chine;CN;BNP Paribas SA (succ. Chine);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Chine;CN;Banque de Nankin;Europe Méditerranée
2014-12-31;BNP;FILIALES;Chine;CN;Haitong - Fortis Private Equity Fund Management Co. Ltd;Investment
2014-12-31;BNP;FILIALES;Chine;CN;HFT Investment Management Co Ltd (Groupe);Investment
2014-12-31;BNP;FILIALES;Colombie;CO;Cardif Colombia Suguros Generales;Assurance
2014-12-31;BNP;FILIALES;Colombie;CO;BNP Paribas Colombia Corporation Financiera SA;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Corée du Sud;KR;BNP Paribas General Insurance Co Ltd;Assurance
2014-12-31;BNP;FILIALES;Corée du Sud;KR;Cardif Life Insurance Co. Ltd;Assurance
2014-12-31;BNP;FILIALES;Corée du Sud;KR;BNP Paribas SA (succ. République de Corée);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Corée du Sud;KR;BNP Paribas Securities Korea Company Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Corée du Sud;KR;Shinhan BNP Paribas Asset Management Co Ltd;Investment
2014-12-31;BNP;FILIALES;Côte d'Ivoire;CI;Banque Internationale du commerce et de l'industrie Côte d'Ivoire;Europe Méditerranée
2014-12-31;BNP;FILIALES;Danemark;DK;Arval A/S;Arval
2014-12-31;BNP;FILIALES;Danemark;DK;Cardif Forsakring AB (succ. Danemark);Assurance
2014-12-31;BNP;FILIALES;Danemark;DK;Cardif livforsakring AB (succ. Danemark);Assurance
2014-12-31;BNP;FILIALES;Danemark;DK;BNP Paribas Fortis (succ. Danemark);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Danemark;DK;Alfred Berg Asset Management AB (succ. Danemark);Investment
2014-12-31;BNP;FILIALES;Danemark;DK;EkspresBank;Personal Finance
2014-12-31;BNP;FILIALES;Émirats Arabes Unis;AE;BNP Paribas Real Estate Advisory & Property Management LLC;Services immobiliers
2014-12-31;BNP;FILIALES;Émirats Arabes Unis;AE;BNP Paribas SA (succ. Emirats Arabes Unis);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;ES;Arval Service Lease SA;Arval
2014-12-31;BNP;FILIALES;Espagne;ES;Cardif Assurance Vie (succ. Espagne);Assurance
2014-12-31;BNP;FILIALES;Espagne;ES;Cardif Assurances Risques Divers (succ. Espagne);Assurance
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas Factor (succ. Espagne);Banque de détail
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas Fortis (succ. Espagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas SA (succ. Espagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;ES;Ribera del Loira Arbitrage;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;ES;SC Nueva Condo Murcia SL;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas Lease Group BPLG (succ. Espagne);Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;ES;Claas Financial Services (succ. Espagne);Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;ES;CNH Industrial Capital Europe (succ. Espagne);Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;ES;Fortis Lease Iberia SA;Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;ES;JCB Finance (succ. Espagne);Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;ES;Effico iberia SA;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;ES;Eurocredito EFC SA;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;ES;FCC U.C.I 5-18;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;ES;Fimesctic Expansion SA;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;ES;Servicios Financieros Carrefour EFC;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;ES;Union de Creditos Inmobiliaros - UCI (Groupe);Personal Finance
2014-12-31;BNP;FILIALES;Espagne;ES;Banco Cetelem SA;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;ES;Cortal Consors (succ. Espagne);Personal Investors
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas Securities Services - B2PS (succ. Espagne) ;Securities Services
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas Real Estate Advisory Spain SA;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas Real Estate Investment Management Spain SA;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas Real Estate Property Management Spain SA;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;ES;Meunier Hispania;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;ES;Tasaciones Hipotecarias SA;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;ES;Ejesur SA;Sociétés immobilières d'Exploitation
2014-12-31;BNP;FILIALES;Espagne;ES;BNP Paribas Espana SA;Wealth Management
2014-12-31;BNP;FILIALES;États-Unis;US;1897 Services Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Bancwest Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Bancwest Investment Services, Inc.;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Bank of the West;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Bank of the West Business Park Association LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Bishop Sreet capital Management Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;BOW Auto receivables LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;BOW Auto Trust LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;BW Insurance Agency, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Center Club, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;CFB Community Development corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Claas Financial Services LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Commercial Federal affordable Housing, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Commercial Federal Community Development corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Commercial Federal Insurance Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Commercial Federal Investment Service Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Commercial Federal Realty Investors Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Commercial Federal Service Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Community Service, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Equipment Lot FH;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Equipment Lot Siemens 1998A - FH;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Equity Lending Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Essex Credit Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;FHB Guam Trust Co;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;FHL SPC One, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;First Bancorp;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;First Hawaïan Bank;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;First Hawaïan Capital 1;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;First Hawaïan leasing inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;First National Bancorporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;First Santa Clara Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Glendale Corporate Center Acquisition LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;LACMTA Rail statutory Trust (FH1);Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Lexington Blue LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Liberty Leasing company;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;MNCRC Equipement Lot ;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Mountain Falls Acquisition Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Real Estate Delivery 2 Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Riverwalk village Three Holdings LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Santa Rita Town Homes Acquisition LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Southwest Airlines 1993 Trust N363 SW;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;ST 2001 FH-1;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;SWB 99-1;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;The bankers Club, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Ursus Real Estate, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;VTA 1998 - FH;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;US;Banexi Holding Corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Arbitrage (succ. Etats-Unis);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Capital Services Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas CC Inc (ex - BNP Paribas Capital Corporation Inc);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Energy Trading GP;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Energy Trading Holdings Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Energy Trading LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Finance Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Fortis (succ. Etats-Unis);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas FS LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Leasing corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Mortgage corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas North America Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Prime Brokerage Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas RCC Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas SA (succ. Etats-Unis);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas Securities Corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Adonis LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG BMC Select LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Brookfin LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Brookline Cre LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG CB LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG CT Holdings LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG EDMC Holdings LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Freedom Communications LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Lake Butler LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Legacy Cabinets LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Marc IV LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Master LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Medianews Group LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG MGM LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Modern Luxury Media LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG  Northstar LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VGP PCMC LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Reader's Digest association LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG SBX Holdings LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG SDI Media Holdings LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Semgroup LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;BNP Paribas VPG Titan outdoor LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;FB Transportation Capital LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;Fortis Funding LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;US;French American Banking Corporation - F.A.B.C;Corporate and Investment Banking
